seq|reserved_at|kind|reason|key|outcome|completed_at|call_id
1|2026-09-22T02:56:14Z|key|k|kk-1|PENDING|-|SOL-01-02561424777
2|2026-09-22T02:56:14Z|key|k|kk-2|PENDING|-|SOL-02-0256149610
3|2026-09-22T02:56:15Z|key|k|kk-3|PENDING|-|SOL-03-0256157921
4|2026-09-22T02:56:15Z|key|k|kk-4|PENDING|-|SOL-04-02561517250
5|2026-09-22T02:56:15Z|key|k|kk-5|PENDING|-|SOL-05-02561518256
6|2026-09-22T02:56:15Z|key|k|kk-6|PENDING|-|SOL-06-0256158851
7|2026-09-22T02:56:15Z|key|k|kk-7|PENDING|-|SOL-07-02561522046
8|2026-09-22T02:56:15Z|key|k|kk-8|PENDING|-|SOL-08-02561512635
9|2026-09-22T02:56:15Z|final|f1|fin-1|PENDING|-|SOL-09-02561521998
10|2026-09-22T02:56:16Z|final|f2|fin-2|PENDING|-|SOL-10-02561617604
