sid|status|owner|mechanism|evidence|round
S01|claimed|core|namespaces.open + announce + typed-action invoke + the ViewHost.open_scope seam + pump + cursor-stream-log subscribe with from_cursor=0 under the just-created rule; each step names its user-visible failure|§R11.7-S01 step table (steps 1-5, all with actor, authoritative and delete-consequence)|R012
S02|claimed|adaptation|namespaces.open + ViewHost.open_scope + announce pi kinds + cursor_resolve live edge + typed-action send/approve + pump tool/approval/response|§R11.7-S02 step table|R012
S03|claimed|core|subscribe from_cursor=0 + close releasing a reference not a log entry + persist(recorded_ns_id,seq) + pump appending while no subscriber exists + ns-guard catch-up + read snapshot; step 4's delete line names the retention clause that enables the replay|§R11.7-S03 step table with the 4-alt branch|R012
S04|claimed|core|announce job kind + register submit + pump inside invoke appends head + subscribe the spawned resource from_cursor=0 + pump progress/result + retire; no role or turn field in Envelope|§R11.7-S04 step table and its no-chat proof|R012
S05|claimed|core|announce config kind with a read action + directory_list + invoke read -> GenericWalk rows + Reload re-invokes + opaque-body row + the four-variant table|§R11.7-S05 deletion-complete table|R012
S06|claimed|core|namespaces.open twice + same (ns,kind,action) registered in both + ViewHost.open_scope per namespace + same-ns ScopeDenied on subscribe and invoke + namespace-scoped directory_list|§R11.7-S06 step table (steps 1-6, each with actor, authoritative and delete-consequence)|R012
S07|claimed|core|announce with an open CapMap + ViewHost.open_scope + extension selection when no view claims the schema + action names and CapMap rendered + read value or structural CapabilityAbsent + opaque row + a later mount claiming the schema|§R11.7-S07 step table (steps 1-7)|R012
S08|claimed|core|two namespaces + typed execute + the user's pair gesture opening two scopes + cursor_resolve live edge + invoke-spawned head from_cursor=0 + cross-service handoff through the view + namespace teardown -> NamespaceGone + re-pair|§R11.7-S08 step table (steps 1-9)|R012
S09|claimed|adaptation|adapter dedups its own stable id and pumps logical order + never-auto-resubmit + four-variant rendering of OutcomeUnknown as unconfirmed + ns-guard catch-up + ExplicitAbsent when the persisted local_id no longer resolves|§R11.7-S09 step table (steps 1-7) + EXPERIMENT R12-A|R012
S10|claimed|core|ViewHost.open_scope + throws contained to the view region + uninstall closes every subscription through its scopes + adapters remain authoritative + a new view replays from a log that was never discarded + no core pair record|§R11.7-S10 step table (steps 1-6)|R012
S11|claimed|core|open CapMap not_supported + absence from the registry -> structural CapabilityAbsent + the fallback renders absence and declares OutcomeUnknown actions unconfirmed|§R11.7-S11 deletion-complete table|R012
S12|claimed|adaptation|namespace teardown disposing one service's logs without touching the other + extension selection reverting when a view is uninstalled + no pair record to reconcile on removal + a re-opened service minting a new ns_id and views re-pairing|§R11.7-S12 step table (steps 1-5)|R012
