round|holds_major|new_major|closed_major|clean|note|digest|review_holds
R001|0|0|0|0|dim=D12-authority-boundary attack=1095w verify=1110w|b93d2dbedec53eaa05d7de4a9d762f3621d5f9bc623f8ea7da916298e690d30b|1
R002|0|1|4|1|dim=D10-cross-module attack=1725w verify=1215w|2d2dde146c280db1e9ba555b358212f089cb4d99aa3bcbf60d6879699aebc496|0
R004|0|0|4|1|dim=D08-reduction attack=0w verify=0w|82e626862a1629503f37199869ae75f4ed0d21dad63bef890ce7a163ce265ebc|0
R006|0|0|7|0|dim=D01-order-dedup attack=1512w verify=907w|b6da557abfc47cc25d1e770381afa126bd2668e13b85563ddc6edc599f220560|0
R007|0|0|9|1|dim=D01-order-dedup attack=1029w verify=698w|0376a54974883f9a750001e703098f4bbf0c6170db1caf03882592b89a605097|0
R008|0|0|10|1|dim=D06-adapter-burden attack=1317w verify=439w|49df1e9345ab1f5c30f7fb2ffbb3306780ac0f45a318e3626b090ae0c9af9bc8|0
R011|0|0|11|0|dim=D09-splits-truth. The rotation rule forbids reusing the immediately previous clean attack=1200w verify=739w|fece1121311d6d5f3227259d4b9056e13276700cebc2c5346c939cb91ba21b6c|0
R011|0|0|11|0|dim=D09-splits-truth. The rotation rule forbids reusing the immediately previous clean attack=1200w verify=739w|fece1121311d6d5f3227259d4b9056e13276700cebc2c5346c939cb91ba21b6c|0
R012|0|0|18|0|dim=D01-order-dedup attack=1099w verify=930w|25c36f4c40d85fed87d79a175c6964018ff7c91bcd0ca6d66a042fe2e25293e7|0
R013|0|0|6|0|dim=D11-long-run attack=1467w verify=602w|b4f5c5cc46c41cbf59389bc99ab71b38819261b3a5da6e18a15d7a3cdd35c38e|0
