id	worktree	branch	state	terminal	depends_on	dependency_condition	document	progress	source	note	closed_or_delivered_at
37	server-r1-scheduling	feature/server-http-codex-r1	(unstated)				work-orders/37-http-codex.md			write_paths are relative to worktree only; forbidden roots do not include the distinct sibling worktree. This is not the renderer import-edge manifest.	
38	server-r1-scheduling	feature/server-http-codex-r1	(unstated)		37	37 checkpoints exist and prior goal ended; GREEN not required; 37 production repair paused	work-orders/38-harness-extension-selection.md			Research only. No production edits, real models or credentials. Shares report/status scope with paused 37; serialize status edits. Third-party integration reuse mandatory; final selection requires user decision.	
39	server-r1-scheduling	feature/server-harness-extension-v1	(unstated)		38	Research delivered; 38 writer finished; user authorized architecture and gated reuse attempts	work-orders/39-server-boundaries.md			No model calls/credential reads; narrowly repair Core database injection only. Preserve historical checkpoints.	
40	server-r1-scheduling	feature/server-harness-extension-v1	(unstated)		39		work-orders/40-four-harness-integration.md			Gated fixed-source reuse and narrow documented patches; model tests only under order 42 section D authorization and shared budget; no fullstack takeover in 40.	
41	server-r1-scheduling	feature/server-harness-extension-v1	(unstated)		39;40	39 ready and at least one 40 component verified; all four not required. Serialize common files with remaining 40 work.	work-orders/41-core-service-acceptance.md				
42	server-r1-scheduling	feature/server-harness-extension-v1	(unstated)		41	Enter waiting after backend READY; integration requires Desktop READY, same wire and released writer lease	work-orders/42-fullstack-delivery.md			Polling is read-only before gate. Same unchanged frontend status is expected waiting, not a blocker. Final commits in both execution branches, no push or merge.	
43	harness-expansion	feature/harness-expansion-v1	(unstated)		42		work-orders/43-harness-expansion.md			Harness expansion: integrate third-party Harnesses by priority, no cap. Read-only reference to the four integrated families in the parent worktree. No frontend writes (the UI gate may only be run). Same paid budget as 42 §D.	
44	env-provider	feature/env-provider-v1	(unstated)		42;43		work-orders/44-environment-providers.md			Environment providers: make the local and ssh placements runnable end to end through the placement resolution, with the same deployment document. First blocker is the Worker binary (needs GLIBC_2.39, the experiment host has 2.32). No real model calls without explicit authorization; fake endpoints on	
45	env-provider	feature/env-provider-v1	(unstated)		44	Runs in the 44 worktree, after 44 reaches its DoD, serialized by one executor. 44 and 45 share almost every write path (src/agent_box, workers, the runtime/sand	work-orders/45-native-home-storage.md			Native home as the single source of truth: the profile's native state lives in a persistent directory on the machine that runs it (wsl: $HOME/.agent-box/profiles, local: <data_root>/profiles), bound RW into the sandbox; the control plane keeps records plus a reference (native_platform, home_locator,	
46	env-provider	feature/env-provider-v1	(unstated)		43;44;45	44 and 45 reach their DoD first, then the harness-expansion branch is merged in (user-authorized once, section 1b of this order) so all eight registered familie	work-orders/46-all-harnesses-fullstack.md			One Server, one deployment document, all eight registered families (codex, claude-code, opencode, hermes, dsh, qwen, kilo, pi). A reusable install-set producer builds or verifies each family's runtime artifact with a pinned digest and generates the document plus a machine-readable install-set.json. 	
47	env-provider	feature/env-provider-v1	(unstated)		46;50	Absorbs the capability layer first (order 50), so 47 projects the semantic trio over that mechanism instead of inventing a second vocabulary; the capability bra	work-orders/47-sandbox-plan-seam.md			The upper layer states requirements, the resolved sandbox provider translates them. Today the channels import the bwrap composer directly (sidecar.py:316, local_channel.py:25), bootstrap hard-imports WslConnector (runtime.py:139) and the layout grammar (runtime.py:727/739/784), the coordinator is ne	
48	env-provider	feature/env-provider-v1	(unstated)		47	Stage A (the seven-question spike) may run at any time because it writes only evidence docs; stages B and later must wait for 47, or the Windows provider would 	work-orders/48-windows-placement.md			Native Windows placement: Server on Windows, harness on Windows, AppContainer as the sandbox (capability based, access granted by ACL, no virtualisation so the home stays a real directory), a Job Object for the tree and its lifetime, and no Worker at all because the Server already runs on that machi	
49	env-provider	feature/env-provider-v1	(unstated)			Independent of 44-48; touches only the gate scripts' defaults and the status wording, so it may be interleaved at any stage boundary.	work-orders/49-evidence-hygiene.md			The four production-chain gates default --worker to .acceptance-bundle-c4 while the current bundle is c8, and c2 through c8 all still exist on disk, so running a gate with no arguments silently produces a passing result from 2026-09-14 artifacts - a false-green entry point. The order makes an omitte	
50	env-provider	feature/env-provider-v1	(unstated)		46	Touches the same three Server files as 44-48, so it runs once those are quiescent and before 47.	work-orders/50-absorb-capability-layer.md			Absorbs by content what feature/capability-entry-v1 (baseline 897a833, HEAD 1c74d15) built for capability entry: the agent_box.extensions.capability package (ids, requirements, match, selection, documents, errors), the sandbox-side declarations.py with per-execution declaration documents, and roughl	
51	env-provider	feature/env-provider-v1	(unstated)		50	Stage A (per-family observation, no code change) may run at any time; stages B-D touch the same channel and wire files as 47/48, so the executor serializes them	work-orders/51-usage-context-fact.md			Real usage and context numbers, end to end, reported only when the harness actually reports them. Nothing in the chain carries usage today: the sidecar bridge and the opencode driver have zero usage handling, the Server's _forward() knows only message chunks, permission requests and exits, and the w	
