sid|status|owner|mechanism|evidence|round
S01|claimed|core|namespaces.open + announce + typed-action invoke + pump + cursor-stream-log live subscribe; delete pump -> step4 no data, delete typed-action -> step3 execute(any), delete namespace -> step1 no scope, delete cursor-stream-log -> step5 no delivery|§R11.7 (carried §R8.5 S01)|R011
S02|claimed|adaptation|namespaces.open + announce pi kinds + cursor_resolve live + typed-action send/approve + pump tool/approval/response; delete pump -> step5 no tool events, delete typed-action -> step4, delete namespace -> S06|§R11.7 (carried §R8.5 S02)|R011
S03|claimed|core|subscribe from_cursor=0 + close releasing a reference not a log entry + persist(recorded_ns_id,seq) + pump appends while no subscriber exists + ns-guard catch-up + read snapshot; delete cursor-stream-log -> step4 backlog empty (FE-CE-022/024), delete Envelope.seq -> step2 no position, delete pump -> step3 nothing appended|§R11.3 + §R11.7 (carried §R8.5 S03) + EXPERIMENT R11-A|R011
S04|claimed|core|announce job kind + register submit + pump inside invoke appends head + subscribe spawned from_cursor=0 replays head + pump progress/result + retire; no role/turn/session field in Envelope; delete cursor-stream-log -> step4 head unreplayable, delete typed-action -> step2|§R11.7 (carried §R8.5 S04)|R011
S05|claimed|core|announce config kind with read action + directory_list + invoke read -> GenericWalk rows + Reload re-invokes + opaque-body row + four-variant table for OutcomeUnknown/CapabilityAbsent; each step names its user-visible failure on deletion|§R11.5 + §R11.7 S05|R011
S06|claimed|core|namespaced ids + same-ns ScopeDenied + per-(ns,kind,action) registry; delete namespaces -> collision, delete same-ns rule -> leak, delete per-ns registry -> shared key (FE-CE-006)|§R11.7 (carried §R8.5 S06)|R011
S07|claimed|core|recursive actionable fallback renders kind + actions + CapMap + schema + read rows + opaque row when no resolver is installed; delete generic-fallback-view -> blank and no Reload|§R11.5 + §R11.7 S07|R011
S08|claimed|core|runner cursor_resolve live + job from_cursor=0 + same-ns permits subscribe + pump delivers progress + teardown -> NamespaceGone + re-pair; delete same-ns rule -> step6 ScopeDenied, delete cursor_resolve -> step4 FE-CE-005|§R11.7 (carried §R8.5 S08)|R011
S09|claimed|adaptation|adapter dedups own id + pumps logical order + never-auto-resubmit + ns-guard catch-up; OutcomeUnknown rendered as the structural variant with Retry and never as a data row; delete never-auto-resubmit -> double execution|§R11.5 + EXPERIMENT R11-B|R011
S10|claimed|core|force-close on unmount + new view replays from_cursor=0 or saved+1 from a log that was never discarded; delete force-close -> leak, delete cursor-stream-log -> step3 no replay|§R11.3 + §R11.7 (carried §R8.5 S10)|R011
S11|claimed|core|open CapMap not_supported + absent-from-registry -> CapabilityAbsent structural + fallback renders absence and declares OutcomeUnknown actions unconfirmed; delete CapMap -> fake-support, delete per-ns registry -> cannot answer absence|§R11.4 + §R11.7 S11|R011
S12|claimed|adaptation|namespace teardown isolation + recursive actionable fallback for a removed resolver + no standing pair record; delete namespaces/teardown -> shared key-space, delete fallback -> blank|§R11.7 (carried §R8.5 S12)|R011
