sid|status|owner|mechanism|evidence|round
S01|claimed|core|namespaces.open + announce + typed-action invoke + pump + ordered-stream delivery + cursor_resolve live subscribe; delete pump→step4 no data, delete typed-action→step3 execute(any), delete namespace→step1 no scope, delete cursor-stream→step5 no delivery|§R8.5 S01|R008
S02|claimed|adaptation|namespaces.open + announce pi kinds + cursor_resolve live subscribe + typed-action send/approve + pump delivers tool/approval/response events; delete pump→step5 no tool events, delete announce→step2, delete typed-action→step4, delete namespace→S06|§R8.5 S02|R008
S03|claimed|core|subscribe from_cursor=0 + close+persist(recorded_ns_id,seq) + pump keeps delivering + subscriber ns-guard decision + catch-up deliver + read snapshot; delete pump→step3 seq21+ never enter, delete cursor-stream→step4 no catch-up, delete Envelope.seq→step2 no position to persist, delete typed-action→step5 no read|§R8.5 S03|R008
S04|claimed|core|announce job kind + register submit + pump inside invoke delivers head + subscribe spawned from_cursor=0 + pump progress/result + retire; no Envelope role/turn/session field exists; delete pump→step3 head never enters, delete typed-action→step2 no schema, delete cursor-stream→step4 no delivery position, delete ordered-stream→step5 out-of-order|§R8.5 S04|R008
S05|claimed|core|announce config kind with read action + directory_list + invoke read→snapshot + fallback renders value rows + Read re-invokes; delete directory→step2, delete typed-action→step3|§R8.5 S05|R008
S06|claimed|core|namespaced ids + same-ns handle ScopeDenied + per-ns action registry; delete namespaces→step2, delete same-ns rule→step3-4, delete per-ns action→step5|§R8.5 S06|R008
S07|claimed|core|actionable fallback renders kind+actions+CapMap+schema+read snapshot+Read control; delete generic-fallback→blank|§R8.5 S07|R008
S08|claimed|core|runner cursor_resolve live + job from_cursor=0 + same-ns permits subscribe + pump delivers progress + teardown→NamespaceGone + re-pair; delete same-ns rule→step6, delete typed-action→step5, delete cursor_resolve→step4 FE-CE-005, delete pump→step5 no progress|§R8.5 S08|R008
S09|claimed|adaptation|adapter dedups own id + pumps logical order + never-auto-resubmit + subscriber ns-guard catch-up; delete never-auto-resubmit→step2, delete cursor-stream→step4|§R8.5 S09|R008
S10|claimed|core|force-close on unmount + new view subscribes saved+1 or 0; delete force-close→step1 leak, delete cursor-stream→step3|§R8.5 S10|R008
S11|claimed|core|open CapMap not_supported + CapabilityAbsent structural; delete CapMap→fake support, delete typed-action registry→no structural absence|§R8.5 S11|R008
S12|claimed|adaptation|namespace teardown isolation + actionable fallback for removed resolver; delete namespaces/teardown→step1, delete fallback→step2|§R8.5 S12|R008
