round|digest|kind|id|verdict|evidence
R008|dc5a1e27fef8e932ae05072576cc8c92fc22206c45a4f452d28eff55e5b91d61|sc|S01|trajectory_ok|s
R008|dc5a1e27fef8e932ae05072576cc8c92fc22206c45a4f452d28eff55e5b91d61|sc|S02|trajectory_ok|s
R008|dc5a1e27fef8e932ae05072576cc8c92fc22206c45a4f452d28eff55e5b91d61|sc|S03|trajectory_ok|s
R008|dc5a1e27fef8e932ae05072576cc8c92fc22206c45a4f452d28eff55e5b91d61|sc|S04|trajectory_ok|s
R008|dc5a1e27fef8e932ae05072576cc8c92fc22206c45a4f452d28eff55e5b91d61|sc|S05|trajectory_ok|s
R008|dc5a1e27fef8e932ae05072576cc8c92fc22206c45a4f452d28eff55e5b91d61|sc|S06|trajectory_ok|s
R008|dc5a1e27fef8e932ae05072576cc8c92fc22206c45a4f452d28eff55e5b91d61|sc|S07|trajectory_ok|s
R008|dc5a1e27fef8e932ae05072576cc8c92fc22206c45a4f452d28eff55e5b91d61|sc|S08|trajectory_ok|s
R008|dc5a1e27fef8e932ae05072576cc8c92fc22206c45a4f452d28eff55e5b91d61|sc|S09|trajectory_ok|s
R008|dc5a1e27fef8e932ae05072576cc8c92fc22206c45a4f452d28eff55e5b91d61|sc|S10|trajectory_ok|s
R008|dc5a1e27fef8e932ae05072576cc8c92fc22206c45a4f452d28eff55e5b91d61|sc|S11|trajectory_ok|s
R008|dc5a1e27fef8e932ae05072576cc8c92fc22206c45a4f452d28eff55e5b91d61|sc|S12|trajectory_ok|s
R8|dc5a1e27fef8e932ae05072576cc8c92fc22206c45a4f452d28eff55e5b91d61|ce|FE-CE-001|not_applicable|belongs to a discarded alternative, not replayable against these bytes
