mechanism|disposition|failure_scenario|experiment_ref|round
namespaces|core|S01 step1 no scope / S06 step2 id collision|§R11.2|12
resource-directory|core|S05 step3 cannot list or look up without an active session|§R11.7-S05|12
ordered-replayable-stream|core|S03 step4 no catch-up / S10 step3 no replay (meaning narrowed to stream index)|rounds/R006/cand-A.md §R6.5-S03,S10|6
capability-declaration|core|S11 step 2 — absence inferred from null, faking support|best-candidate §R.2 CapMap (open)|1
typed-action|core|S01 step3 execute(any) disqualifier / S04 step2|§R8.5-S01|8
generic-fallback-view|core|S05 step5 blank and no Reload / S07 step4 the user cannot see which action exists / S11 step4 blank|EXPERIMENT R11-B|12
host-session-object|removed|none — S04 passes without it|§R8.5-S04|8
host-turn/role-envelope-field|removed|none — D12 disqualifier; S04 passes|§R7.5-S04|7
host-event-store|removed|none — corrected: no second store is added; the store is the cursor stream itself, which is named. This row was false from R006 to R010|§R11.3|12
host-resource-directory-B|removed|none — per-service ns handles suffice|rounds/R001/cand-B §B.9|4
capability-declaration-open-map|core|S11 step 2 absence inferred from null; fake support|best-candidate §R.2-§R.5-S11|2
typed-replay-policy-on-registration|core|S09 step 3 host branches on CapMap string (FE-CE-003 reopens if removed)|best-candidate §R.2-§R.5-S09|2
spawned-resource-grant|removed|none — same-ns rule passes S08 without set|§R8.5-S08|8
live-default-subscribe|core|S08 step 5 pair gesture replays stale events and auto-executes (FE-CE-005 reopens if removed)|best-candidate §R.2-§R.4-§R.5-S08|2
ns-scoped-payload-registration|removed|none — payload_schema_id opaque; FE-CE-008 closed|rounds/R006/cand-A.md §R6.2|6
cross-namespace-edge|removed|none — S08 on two ns-local handles; FE-CE-007 on B|§R8.8|8
persistent-pair-record|removed|none — re-pairing is user action|§R8.4|8
open capability map|core|S11 step1 absence inferred from null -> fake-support disqualifier|EXPERIMENT R11-B|12
ns-scoped-action-type-registration|core|S06 two services same kind/action name share a mutable key; FE-CE-006 reopens|rounds/R004/integrate.md §R4.2-§R4.5-S06|4
handle-accessible-set|core|S06 step3-4 out-of-scope subscribe/invoke; FE-CE-007 leak class|rounds/R004/integrate.md §R4.2-§R4.5-S06,S08|4
ns-scoped-envelope-payload-descriptor-store|removed|none — S06/S07 pass without it; sole reader (delivery gate) already gone FE-CE-008|rounds/R004/integrate.md §R4.6 (FE-CE-008)|4
invoke-id-on-OutcomeUnknown|removed|none — no auto-resubmit; no consumer|§R8.5-S09|8
implicit-live-default-subscribe|removed|none — from_cursor mandatory|§R8.5-S01|8
envelope-payload-delivery-gate|removed|none — S07 renders unregistered schema identically; confirmed R003|rounds/R004/integrate.md §R4.2|4
typed-replay-policy-enum|removed|none — fixed never-auto-resubmit; FE-CE-003 closed|rounds/R004/integrate.md §R4.6|6
same-namespace-scoped-handle|core|S06 step4-5 out-of-scope subscribe or invoke / S08 step6 job subscribe|§R11.7-S06|12
host-dedup-(ns,resource,seq)|removed|none — vacuous; S09 via adapter dedup|§R7.5-S09|7
host-reorder-by-seq|removed|none — identity under arrival index|§R8.5-S09|8
never-auto-resubmit-invariant|core|S09 step2 host replays command -> double execution if removed|rounds/R006/cand-A.md §R6.5-S09|6
open-capability-map|core|S11 step2 absence inferred from null→fake-support disqualifier|EXPERIMENT2|8
