round|digest|kind|id|verdict|evidence
R001|f1caac39f93cd4a96202d4d2d0dc3d578116a73b654a1a754a0d62f52d2522f3|sc|S01|trajectory_ok|section|
R001|f1caac39f93cd4a96202d4d2d0dc3d578116a73b654a1a754a0d62f52d2522f3|sc|S02|trajectory_ok|section|
R001|f1caac39f93cd4a96202d4d2d0dc3d578116a73b654a1a754a0d62f52d2522f3|sc|S03|trajectory_ok|section|
R001|f1caac39f93cd4a96202d4d2d0dc3d578116a73b654a1a754a0d62f52d2522f3|sc|S04|trajectory_ok|section|
R001|f1caac39f93cd4a96202d4d2d0dc3d578116a73b654a1a754a0d62f52d2522f3|sc|S05|trajectory_ok|section|
R001|f1caac39f93cd4a96202d4d2d0dc3d578116a73b654a1a754a0d62f52d2522f3|sc|S06|trajectory_ok|section|
R001|f1caac39f93cd4a96202d4d2d0dc3d578116a73b654a1a754a0d62f52d2522f3|sc|S07|trajectory_ok|section|
R001|f1caac39f93cd4a96202d4d2d0dc3d578116a73b654a1a754a0d62f52d2522f3|sc|S08|trajectory_ok|section|
R001|f1caac39f93cd4a96202d4d2d0dc3d578116a73b654a1a754a0d62f52d2522f3|sc|S09|trajectory_ok|section|
R001|f1caac39f93cd4a96202d4d2d0dc3d578116a73b654a1a754a0d62f52d2522f3|sc|S10|trajectory_ok|section|
R001|f1caac39f93cd4a96202d4d2d0dc3d578116a73b654a1a754a0d62f52d2522f3|sc|S11|trajectory_ok|section|
R001|f1caac39f93cd4a96202d4d2d0dc3d578116a73b654a1a754a0d62f52d2522f3|sc|S12|trajectory_ok|section|
